 Log10[q2](GeV^2) Log10[r2](GeV^2)    theta            G4Gluon         G4Ghost           GQuark          G4Sword
-4.0000000E+0    -3.5172414E+0     1.3227759E+0    -2.3618423E-6    -5.9242364E-3    -3.0039010E-6    -4.1393412E-7
-4.0000000E+0    -3.5172414E+0     1.4881228E+0    -6.1130809E-7    -5.7883209E-3    -1.5124945E-6    -3.2723557E-7
-4.0000000E+0    -3.5172414E+0     1.6534698E+0     2.4080704E-6    -5.6460792E-3    -1.1255094E-7    -1.6410433E-7
-4.0000000E+0    -3.5172414E+0     1.8188168E+0     2.2373570E-5    -5.5991385E-3    -8.8536159E-7    -2.6948527E-7
-4.0000000E+0    -3.5172414E+0     1.9841638E+0     2.3465246E-5    -5.5189782E-3    -3.7913871E-7    -2.9718411E-7
-4.0000000E+0    -3.5172414E+0     2.1495108E+0    -3.5696126E-6    -5.4766185E-3    -1.2554916E-7    -2.4360739E-7
-4.0000000E+0    -3.5172414E+0     2.3148577E+0    -2.0573168E-6    -5.5485600E-3     2.2168888E-6     2.7858590E-7
-4.0000000E+0    -3.5172414E+0     2.4802047E+0     1.7441005E-5    -5.5462190E-3     2.7432007E-6     1.0223251E-6
-4.0000000E+0    -3.5172414E+0     2.6455517E+0     3.0269624E-5    -5.1359405E-3    -1.6392556E-6     2.0929288E-6
-4.0000000E+0    -3.5172414E+0     2.8108987E+0    -1.3352399E-5    -4.1112671E-3    -1.1613305E-7     3.3958943E-6
-4.0000000E+0    -3.5172414E+0     2.9762457E+0    -1.1594283E-4    -2.8741607E-3    -3.3538558E-6     4.5984542E-6
-4.0000000E+0    -3.2758621E+0     1.0000000E-2    -1.7891181E-6    -6.8928747E-3    -9.0782907E-6     1.1303229E-6
-4.0000000E+0    -3.2758621E+0     1.6534698E-1    -2.7693007E-7    -6.8861645E-3    -8.2356879E-6     1.1122766E-6
-4.0000000E+0    -3.2758621E+0     3.3069396E-1    -2.3578883E-7    -6.8567251E-3    -6.5727747E-6     1.0579796E-6
-4.0000000E+0    -3.2758621E+0     4.9604095E-1    -1.5248774E-7    -6.8012567E-3    -6.8314289E-6     9.6319034E-7
-4.0000000E+0    -3.2758621E+0     6.6138793E-1    -4.8877936E-7    -6.7249068E-3    -6.1113517E-6     8.2274566E-7
-4.0000000E+0    -3.2758621E+0     8.2673491E-1    -5.8506994E-7    -6.6418037E-3    -6.0715318E-6     6.3508351E-7
-4.0000000E+0    -3.2758621E+0     9.9208189E-1    -2.5463533E-7    -6.5494632E-3    -5.5047633E-6     4.1504041E-7
-4.0000000E+0    -3.2758621E+0     1.1574289E+0    -2.5594712E-6    -6.4392300E-3    -4.6893144E-6     1.9245497E-7
-4.0000000E+0    -3.2758621E+0     1.3227759E+0    -1.1299583E-6    -6.3331307E-3    -5.5358608E-6    -1.5383281E-7
-4.0000000E+0    -3.2758621E+0     1.4881228E+0    -2.0694745E-6    -6.2337659E-3    -5.1579380E-6    -7.1167600E-7
-4.0000000E+0    -3.2758621E+0     1.6534698E+0    -3.7796680E-6    -6.1206998E-3    -2.4871193E-6    -1.1071060E-6
-4.0000000E+0    -3.2758621E+0     1.8188168E+0    -9.2399864E-6    -6.0099422E-3    -2.2234469E-7    -1.1719875E-6
-4.0000000E+0    -3.2758621E+0     1.9841638E+0    -4.2448326E-6    -6.0047194E-3    -2.3856177E-6    -7.3430022E-7
-4.0000000E+0    -3.2758621E+0     2.1495108E+0     1.7766222E-6    -5.9857256E-3    -2.9534646E-6    -4.1492933E-7
-4.0000000E+0    -3.2758621E+0     2.3148577E+0    -2.9305048E-6    -5.9987503E-3    -4.3071795E-6    -5.3045208E-7
-4.0000000E+0    -3.2758621E+0     2.4802047E+0    -4.4663199E-6    -6.0689055E-3    -3.5339061E-6    -5.8625123E-7
-4.0000000E+0    -3.2758621E+0     2.6455517E+0     2.1909126E-6    -6.2482592E-3    -2.8262393E-7    -3.8303833E-7
-4.0000000E+0    -3.2758621E+0     2.8108987E+0     1.8537345E-5    -6.4090193E-3     1.2201121E-6    -1.3902050E-7
-4.0000000E+0    -3.2758621E+0     2.9762457E+0     1.9915080E-5    -6.4406302E-3    -3.6597712E-6     3.6709806E-8
-4.0000000E+0    -3.0344828E+0     1.0000000E-2    -4.5913479E-6    -7.2303556E-3    -2.0094016E-5     3.2704897E-6
-4.0000000E+0    -3.0344828E+0     1.6534698E-1    -4.5265860E-7    -7.2267918E-3    -1.4117437E-5     3.2821528E-6
-4.0000000E+0    -3.0344828E+0     3.3069396E-1     6.0744031E-7    -7.2041504E-3    -1.0559933E-5     3.3150731E-6
-4.0000000E+0    -3.0344828E+0     4.9604095E-1     6.0524789E-7    -7.1631252E-3    -1.0792138E-5     3.3607745E-6
-4.0000000E+0    -3.0344828E+0     6.6138793E-1     2.0222703E-7    -7.1046328E-3    -1.0317075E-5     3.4052118E-6
-4.0000000E+0    -3.0344828E+0     8.2673491E-1    -2.0187281E-8    -7.0341058E-3    -1.0632941E-5     3.4283017E-6
-4.0000000E+0    -3.0344828E+0     9.9208189E-1    -5.2687188E-8    -6.9611263E-3    -1.0039290E-5     3.3983603E-6
-4.0000000E+0    -3.0344828E+0     1.1574289E+0    -4.1195945E-7    -6.8833188E-3    -8.7367235E-6     3.2633189E-6
-4.0000000E+0    -3.0344828E+0     1.3227759E+0    -1.6655657E-6    -6.8036405E-3    -6.9389429E-6     3.0494237E-6
-4.0000000E+0    -3.0344828E+0     1.4881228E+0     3.8114495E-6    -6.7326704E-3    -7.1382025E-6     2.9877175E-6
-4.0000000E+0    -3.0344828E+0     1.6534698E+0     1.1463603E-6    -6.6747442E-3    -8.8218162E-6     3.0469806E-6
-4.0000000E+0    -3.0344828E+0     1.8188168E+0     1.2482903E-6    -6.6137143E-3    -8.2992694E-6     3.1597944E-6
-4.0000000E+0    -3.0344828E+0     1.9841638E+0    -9.6407875E-8    -6.5735089E-3    -7.2181808E-6     2.9420766E-6
-4.0000000E+0    -3.0344828E+0     2.1495108E+0    -3.0147999E-6    -6.5581127E-3    -6.2850550E-6     2.3871066E-6
-4.0000000E+0    -3.0344828E+0     2.3148577E+0    -4.5573371E-7    -6.5706859E-3    -5.7198207E-6     1.4448673E-6
-4.0000000E+0    -3.0344828E+0     2.4802047E+0    -1.7044123E-7    -6.6007816E-3    -6.1817364E-6     8.2449316E-7
-4.0000000E+0    -3.0344828E+0     2.6455517E+0     4.5228691E-8    -6.6397037E-3    -5.7991322E-6     5.7501040E-7
-4.0000000E+0    -3.0344828E+0     2.8108987E+0    -2.6419230E-6    -6.6776355E-3    -6.2113645E-6     4.5216163E-7
-4.0000000E+0    -3.0344828E+0     2.9762457E+0    -3.5799739E-6    -6.7273411E-3    -6.6267276E-6     3.6920956E-7
-4.0000000E+0    -2.7931034E+0     1.0000000E-2    -7.2175676E-8    -7.5777965E-3    -1.2341719E-5    -7.1218972E-7
-4.0000000E+0    -2.7931034E+0     1.6534698E-1    -3.1663298E-7    -7.5759239E-3    -2.1322002E-5    -7.2808585E-7
-4.0000000E+0    -2.7931034E+0     3.3069396E-1    -9.0277503E-7    -7.5610422E-3    -2.1153238E-5    -7.7626560E-7
-4.0000000E+0    -2.7931034E+0     4.9604095E-1    -4.0562662E-7    -7.5333005E-3    -1.9263323E-5    -8.5766421E-7
-4.0000000E+0    -2.7931034E+0     6.6138793E-1     2.4576973E-7    -7.4931591E-3    -1.9041185E-5    -9.6923564E-7
-4.0000000E+0    -2.7931034E+0     8.2673491E-1     2.7599914E-7    -7.4433295E-3    -1.8713716E-5    -1.0925910E-6
-4.0000000E+0    -2.7931034E+0     9.9208189E-1     1.9386833E-6    -7.3881274E-3    -1.9030017E-5    -1.1507134E-6
-4.0000000E+0    -2.7931034E+0     1.1574289E+0     3.4852343E-6    -7.3325728E-3    -1.9648956E-5    -8.8190405E-7
-4.0000000E+0    -2.7931034E+0     1.3227759E+0     4.1713960E-6    -7.2778881E-3    -1.9212686E-5    -1.3756939E-7
-4.0000000E+0    -2.7931034E+0     1.4881228E+0     7.0931080E-6    -7.2245692E-3    -1.8829530E-5     6.4428873E-7
-4.0000000E+0    -2.7931034E+0     1.6534698E+0     4.4235481E-6    -7.1755986E-3    -1.6667937E-5     1.3724184E-6
-4.0000000E+0    -2.7931034E+0     1.8188168E+0     3.9651434E-6    -7.1317686E-3    -1.2839997E-5     1.9796449E-6
-4.0000000E+0    -2.7931034E+0     1.9841638E+0     3.5312328E-6    -7.1162174E-3    -1.2442356E-5     2.4678670E-6
-4.0000000E+0    -2.7931034E+0     2.1495108E+0     1.0898017E-6    -7.1125089E-3    -1.2425353E-5     2.7803280E-6
-4.0000000E+0    -2.7931034E+0     2.3148577E+0     1.1618305E-6    -7.1212218E-3    -1.2978956E-5     2.8808352E-6
-4.0000000E+0    -2.7931034E+0     2.4802047E+0    -1.1208051E-7    -7.1417965E-3    -1.1673082E-5     2.9167181E-6
-4.0000000E+0    -2.7931034E+0     2.6455517E+0    -2.4629195E-7    -7.1727834E-3    -1.0717062E-5     3.0671278E-6
-4.0000000E+0    -2.7931034E+0     2.8108987E+0     1.1422096E-6    -7.2041591E-3    -1.0781910E-5     3.1979860E-6
-4.0000000E+0    -2.7931034E+0     2.9762457E+0     1.1259293E-6    -7.2210860E-3    -1.2742563E-5     3.2769528E-6
