 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta            G1              G2               G3               G4
-4.0000000E+0    -3.5172414E+0     1.1028274E+0     1.3517501E-1    -3.1049313E-1     1.6614417E-2    -6.1020706E-3
-4.0000000E+0    -3.5172414E+0     1.2589455E+0     1.3174885E-1     1.6949230E-2     1.6427993E-2    -5.9802362E-3
-4.0000000E+0    -3.5172414E+0     1.4150637E+0     1.2495108E-1     2.8207960E-2     1.6230657E-2    -5.8555770E-3
-4.0000000E+0    -3.5172414E+0     1.5711819E+0     1.2169810E-1    -7.5785175E-2     1.6036453E-2    -5.7104237E-3
-4.0000000E+0    -3.5172414E+0     1.7273001E+0     1.1883044E-1    -2.0855957E-2     1.5867453E-2    -5.6096188E-3
-4.0000000E+0    -3.5172414E+0     1.8834183E+0     1.1554793E-1    -9.8113801E-3     1.5728904E-2    -5.5464030E-3
-4.0000000E+0    -3.5172414E+0     2.0395365E+0     1.1523962E-1     5.4553295E-4     1.5629141E-2    -5.4794749E-3
-4.0000000E+0    -3.5172414E+0     2.1956547E+0     1.0755323E-1    -5.9012157E-4     1.5606530E-2    -5.4953773E-3
-4.0000000E+0    -3.5172414E+0     2.3517729E+0     9.4053926E-2     1.1478476E-2     1.5658594E-2    -5.5605094E-3
-4.0000000E+0    -3.5172414E+0     2.5078911E+0     1.0046345E-1    -2.3299262E-2     1.5700450E-2    -5.4910390E-3
-4.0000000E+0    -3.5172414E+0     2.6640093E+0     1.0673434E-1    -3.9502976E-1     1.5623953E-2    -5.0202334E-3
-4.0000000E+0    -3.5172414E+0     2.8201275E+0     1.0135722E-1    -8.5094873E-1     1.5368597E-2    -4.0568535E-3
-4.0000000E+0    -3.5172414E+0     2.9762457E+0     8.6895738E-2    -9.7200596E-2     1.5018728E-2    -2.9888589E-3
-4.0000000E+0    -3.2758621E+0     1.0000000E-2     1.6754244E-1     1.1344724E-2     1.7781791E-2    -6.9026117E-3
-4.0000000E+0    -3.2758621E+0     1.6611819E-1     1.6729425E-1     1.1160102E-2     1.7768132E-2    -6.8934727E-3
-4.0000000E+0    -3.2758621E+0     3.2223639E-1     1.6662002E-1     1.0433858E-2     1.7726643E-2    -6.8646346E-3
-4.0000000E+0    -3.2758621E+0     4.7835458E-1     1.6556310E-1     2.1132805E-2     1.7657353E-2    -6.8143888E-3
-4.0000000E+0    -3.2758621E+0     6.3447277E-1     1.6423200E-1    -3.3500769E-2     1.7563078E-2    -6.7438583E-3
-4.0000000E+0    -3.2758621E+0     7.9059097E-1     1.6251009E-1     4.3525360E-1     1.7453429E-2    -6.6664422E-3
-4.0000000E+0    -3.2758621E+0     9.4670916E-1     1.6086423E-1     9.3255678E-2     1.7330334E-2    -6.5820019E-3
-4.0000000E+0    -3.2758621E+0     1.1028274E+0     1.5978397E-1    -1.8248788E-1     1.7191645E-2    -6.4829061E-3
-4.0000000E+0    -3.2758621E+0     1.2589455E+0     1.5714254E-1     1.2604505E-2     1.7042821E-2    -6.3797294E-3
-4.0000000E+0    -3.2758621E+0     1.4150637E+0     1.5350807E-1     1.9420604E-2     1.6894340E-2    -6.2854209E-3
-4.0000000E+0    -3.2758621E+0     1.5711819E+0     1.5043166E-1    -4.2620151E-2     1.6753774E-2    -6.1877500E-3
-4.0000000E+0    -3.2758621E+0     1.7273001E+0     1.4727931E-1    -9.8127810E-3     1.6628086E-2    -6.0713877E-3
-4.0000000E+0    -3.2758621E+0     1.8834183E+0     1.4390899E-1    -3.1896474E-3     1.6530443E-2    -6.0108206E-3
-4.0000000E+0    -3.2758621E+0     2.0395365E+0     1.4115723E-1     2.9929753E-3     1.6470479E-2    -6.0051937E-3
-4.0000000E+0    -3.2758621E+0     2.1956547E+0     1.3682258E-1     2.3083953E-3     1.6454202E-2    -5.9870678E-3
-4.0000000E+0    -3.2758621E+0     2.3517729E+0     1.3123537E-1     9.5243408E-3     1.6489044E-2    -6.0159431E-3
-4.0000000E+0    -3.2758621E+0     2.5078911E+0     1.3020772E-1    -1.1197377E-2     1.6586529E-2    -6.1005979E-3
-4.0000000E+0    -3.2758621E+0     2.6640093E+0     1.2955618E-1    -2.3331859E-1     1.6747041E-2    -6.2662596E-3
-4.0000000E+0    -3.2758621E+0     2.8201275E+0     1.2681388E-1    -5.0640688E-1     1.6890077E-2    -6.3947071E-3
-4.0000000E+0    -3.2758621E+0     2.9762457E+0     1.2255874E-1    -5.6602260E-2     1.6988008E-2    -6.4243382E-3
-4.0000000E+0    -3.0344828E+0     1.0000000E-2     1.9435161E-1     8.6026150E-3     1.8251376E-2    -7.2517705E-3
-4.0000000E+0    -3.0344828E+0     1.6611819E-1     1.9418252E-1     8.4288198E-3     1.8240305E-2    -7.2379820E-3
-4.0000000E+0    -3.0344828E+0     3.2223639E-1     1.9370051E-1     7.7574004E-3     1.8209469E-2    -7.2124823E-3
-4.0000000E+0    -3.0344828E+0     4.7835458E-1     1.9290961E-1     1.3423633E-2     1.8158343E-2    -7.1751531E-3
-4.0000000E+0    -3.0344828E+0     6.3447277E-1     1.9181706E-1    -1.5929332E-2     1.8087867E-2    -7.1219246E-3
-4.0000000E+0    -3.0344828E+0     7.9059097E-1     1.9042521E-1     2.3597522E-1     1.8001793E-2    -7.0570617E-3
-4.0000000E+0    -3.0344828E+0     9.4670916E-1     1.8876649E-1     5.3302073E-2     1.7906947E-2    -6.9884567E-3
-4.0000000E+0    -3.0344828E+0     1.1028274E+0     1.8688475E-1    -9.4829667E-2     1.7807043E-2    -6.9154767E-3
-4.0000000E+0    -3.0344828E+0     1.2589455E+0     1.8471499E-1     9.4627198E-3     1.7703634E-2    -6.8403555E-3
-4.0000000E+0    -3.0344828E+0     1.4150637E+0     1.8228393E-1     1.3190551E-2     1.7599263E-2    -6.7642315E-3
-4.0000000E+0    -3.0344828E+0     1.5711819E+0     1.7967837E-1    -2.0034560E-2     1.7501349E-2    -6.7053556E-3
-4.0000000E+0    -3.0344828E+0     1.7273001E+0     1.7691993E-1    -2.4317046E-3     1.7417720E-2    -6.6517608E-3
-4.0000000E+0    -3.0344828E+0     1.8834183E+0     1.7405113E-1     1.1410876E-3     1.7354663E-2    -6.5984470E-3
-4.0000000E+0    -3.0344828E+0     2.0395365E+0     1.7117418E-1     4.4589248E-3     1.7319239E-2    -6.5708528E-3
-4.0000000E+0    -3.0344828E+0     2.1956547E+0     1.6828452E-1     4.0896983E-3     1.7313236E-2    -6.5656134E-3
-4.0000000E+0    -3.0344828E+0     2.3517729E+0     1.6545956E-1     7.9700153E-3     1.7333743E-2    -6.5808963E-3
-4.0000000E+0    -3.0344828E+0     2.5078911E+0     1.6302632E-1    -3.1045949E-3     1.7379232E-2    -6.6125308E-3
-4.0000000E+0    -3.0344828E+0     2.6640093E+0     1.6097806E-1    -1.2234831E-1     1.7440136E-2    -6.6492938E-3
-4.0000000E+0    -3.0344828E+0     2.8201275E+0     1.5932511E-1    -2.6946906E-1     1.7500507E-2    -6.6885351E-3
-4.0000000E+0    -3.0344828E+0     2.9762457E+0     1.5815921E-1    -2.8410890E-2     1.7553502E-2    -6.7371786E-3
-4.0000000E+0    -2.7931034E+0     1.0000000E-2     2.2213487E-1     6.9274302E-3     1.8713674E-2    -7.5909225E-3
-4.0000000E+0    -2.7931034E+0     1.6611819E-1     2.2199441E-1     6.7614294E-3     1.8710327E-2    -7.5982708E-3
-4.0000000E+0    -2.7931034E+0     3.2223639E-1     2.2159233E-1     6.2027826E-3     1.8690186E-2    -7.5850468E-3
-4.0000000E+0    -2.7931034E+0     4.7835458E-1     2.2093234E-1     8.7088129E-3     1.8654659E-2    -7.5576145E-3
-4.0000000E+0    -2.7931034E+0     6.3447277E-1     2.2002028E-1    -4.6922874E-3     1.8605701E-2    -7.5202388E-3
-4.0000000E+0    -2.7931034E+0     7.9059097E-1     2.1886681E-1     1.1030842E-1     1.8545771E-2    -7.4745113E-3
-4.0000000E+0    -2.7931034E+0     9.4670916E-1     2.1748519E-1     2.7719239E-2     1.8477022E-2    -7.4221278E-3
-4.0000000E+0    -2.7931034E+0     1.1028274E+0     2.1589140E-1    -3.9870724E-2     1.8404254E-2    -7.3682097E-3
-4.0000000E+0    -2.7931034E+0     1.2589455E+0     2.1410564E-1     7.3434912E-3     1.8331968E-2    -7.3151996E-3
-4.0000000E+0    -2.7931034E+0     1.4150637E+0     2.1215036E-1     9.0912409E-3     1.8263586E-2    -7.2602620E-3
-4.0000000E+0    -2.7931034E+0     1.5711819E+0     2.1005541E-1    -5.9889768E-3     1.8202295E-2    -7.2107818E-3
