 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta        G2Gluon          G2Ghost           G2Quark          G2Sword
-4.0000000E+0    -3.5172414E+0     1.4881228E+0     2.7814832E-2     4.1447004E-3     1.1666611E-5     1.1112858E-5
-4.0000000E+0    -3.5172414E+0     1.6534698E+0     3.0578310E-2     4.0991361E-3     1.1126598E-5     1.0410605E-5
-4.0000000E+0    -3.5172414E+0     1.8188168E+0     2.3074003E-2     4.0385033E-3     9.8507727E-6     9.6209663E-6
-4.0000000E+0    -3.5172414E+0     1.9841638E+0     1.8139108E-2     4.0018243E-3     9.2842684E-6     8.8961317E-6
-4.0000000E+0    -3.5172414E+0     2.1495108E+0     1.2407129E-2     3.9821687E-3     8.3465124E-6     8.2452779E-6
-4.0000000E+0    -3.5172414E+0     2.3148577E+0     9.9501906E-3     3.9694512E-3     7.7290808E-6     7.7229012E-6
-4.0000000E+0    -3.5172414E+0     2.4802047E+0     7.6801684E-3     3.9705259E-3     6.9379269E-6     7.2418672E-6
-4.0000000E+0    -3.5172414E+0     2.6455517E+0     2.7849914E-1     4.0066926E-3     6.0798116E-6     6.7940391E-6
-4.0000000E+0    -3.5172414E+0     2.8108987E+0     6.6906397E-1     4.0975690E-3     7.6729712E-6     6.3740321E-6
-4.0000000E+0    -3.5172414E+0     2.9762457E+0     9.5465191E-2     4.6679050E-3     5.8677690E-6     6.0395288E-6
-4.0000000E+0    -3.2758621E+0     1.0000000E-2    -4.3898548E-3     5.2875329E-3     3.2269874E-5     2.3508511E-5
-4.0000000E+0    -3.2758621E+0     1.6534698E-1    -4.4330462E-3     5.1525860E-3     3.3716352E-5     2.3413987E-5
-4.0000000E+0    -3.2758621E+0     3.3069396E-1    -4.5596926E-3     5.0049790E-3     2.3745689E-5     2.3131968E-5
-4.0000000E+0    -3.2758621E+0     4.9604095E-1    -4.8518658E-3     4.7683310E-3     2.1784698E-5     2.2668350E-5
