 Log10[q2](GeV^2)   Log10[r2](GeV^2)    theta         G3Gluon          G3Ghost           G3Quark          G3Sword
-4.0000000E+0    -3.5172414E+0     1.4881228E+0    -1.7551303E-5     1.6116038E-2     2.4667971E-5     1.4980762E-5
-4.0000000E+0    -3.5172414E+0     1.6534698E+0    -1.6694005E-5     1.5922946E-2     2.2712187E-5     1.3962858E-5
-4.0000000E+0    -3.5172414E+0     1.8188168E+0    -1.7919588E-5     1.5767356E-2     2.0857861E-5     1.2962698E-5
-4.0000000E+0    -3.5172414E+0     1.9841638E+0    -1.7573064E-5     1.5644109E-2     1.9235229E-5     1.2010101E-5
-4.0000000E+0    -3.5172414E+0     2.1495108E+0    -1.3028890E-5     1.5587581E-2     1.7370362E-5     1.1115508E-5
-4.0000000E+0    -3.5172414E+0     2.3148577E+0    -1.2425106E-5     1.5630733E-2     1.4942250E-5     1.0157909E-5
-4.0000000E+0    -3.5172414E+0     2.4802047E+0    -1.8095894E-5     1.5694128E-2     1.3302858E-5     9.1446604E-6
-4.0000000E+0    -3.5172414E+0     2.6455517E+0    -2.4012013E-5     1.5644684E-2     1.4089992E-5     8.0122544E-6
-4.0000000E+0    -3.5172414E+0     2.8108987E+0    -7.7151499E-6     1.5373852E-2     1.4460551E-5     6.8007623E-6
-4.0000000E+0    -3.5172414E+0     2.9762457E+0     3.3269960E-5     1.4964164E-2     1.5540805E-5     5.7534779E-6
-4.0000000E+0    -3.2758621E+0     1.0000000E-2    -3.4274594E-5     1.7728290E-2     5.6995638E-5     3.0779520E-5
-4.0000000E+0    -3.2758621E+0     1.6534698E-1    -3.4011782E-5     1.7717069E-2     5.4548021E-5     3.0662511E-5
-4.0000000E+0    -3.2758621E+0     3.3069396E-1    -3.3704036E-5     1.7673658E-2     5.3327863E-5     3.0313634E-5
-4.0000000E+0    -3.2758621E+0     4.9604095E-1    -3.2979478E-5     1.7598720E-2     5.2321375E-5     2.9742872E-5
-4.0000000E+0    -3.2758621E+0     6.6138793E-1    -3.1921680E-5     1.7497310E-2     5.0683358E-5     2.8966572E-5
-4.0000000E+0    -3.2758621E+0     8.2673491E-1    -3.0773339E-5     1.7380066E-2     4.8918192E-5     2.8008522E-5
-4.0000000E+0    -3.2758621E+0     9.9208189E-1    -2.9772050E-5     1.7247520E-2     4.6980593E-5     2.6900875E-5
-4.0000000E+0    -3.2758621E+0     1.1574289E+0    -2.7948082E-5     1.7097668E-2     4.4829317E-5     2.5680750E-5
-4.0000000E+0    -3.2758621E+0     1.3227759E+0    -2.6681224E-5     1.6941355E-2     4.2450440E-5     2.4375284E-5
-4.0000000E+0    -3.2758621E+0     1.4881228E+0    -2.5823166E-5     1.6790179E-2     3.9858934E-5     2.3035056E-5
-4.0000000E+0    -3.2758621E+0     1.6534698E+0    -2.4323153E-5     1.6650377E-2     3.7284233E-5     2.1722168E-5
-4.0000000E+0    -3.2758621E+0     1.8188168E+0    -2.2306010E-5     1.6533650E-2     3.4592870E-5     2.0451168E-5
-4.0000000E+0    -3.2758621E+0     1.9841638E+0    -2.1463828E-5     1.6457275E-2     3.2410364E-5     1.9180200E-5
-4.0000000E+0    -3.2758621E+0     2.1495108E+0    -2.1205322E-5     1.6426504E-2     3.0353222E-5     1.7971726E-5
-4.0000000E+0    -3.2758621E+0     2.3148577E+0    -1.8073114E-5     1.6448743E-2     2.8763035E-5     1.6960907E-5
-4.0000000E+0    -3.2758621E+0     2.4802047E+0    -1.6456770E-5     1.6536242E-2     2.6963211E-5     1.6101234E-5
-4.0000000E+0    -3.2758621E+0     2.6455517E+0    -1.8522202E-5     1.6706661E-2     2.4411579E-5     1.5326496E-5
-4.0000000E+0    -3.2758621E+0     2.8108987E+0    -2.4911797E-5     1.6870328E-2     2.2602115E-5     1.4704978E-5
-4.0000000E+0    -3.2758621E+0     2.9762457E+0    -2.3123297E-5     1.6972686E-2     2.4146672E-5     1.4298954E-5
-4.0000000E+0    -3.0344828E+0     1.0000000E-2    -5.3719259E-5     1.8167224E-2     8.9670314E-5     4.8200255E-5
-4.0000000E+0    -3.0344828E+0     1.6534698E-1    -5.3475697E-5     1.8159749E-2     8.6086184E-5     4.8048096E-5
-4.0000000E+0    -3.0344828E+0     3.3069396E-1    -5.2944457E-5     1.8127956E-2     8.4614999E-5     4.7593347E-5
-4.0000000E+0    -3.0344828E+0     4.9604095E-1    -5.1780413E-5     1.8072854E-2     8.3370900E-5     4.6846410E-5
-4.0000000E+0    -3.0344828E+0     6.6138793E-1    -5.0235951E-5     1.7996939E-2     8.1457991E-5     4.5823841E-5
-4.0000000E+0    -3.0344828E+0     8.2673491E-1    -4.8687121E-5     1.7905344E-2     7.9171577E-5     4.4549130E-5
